p,f,beta,attack_rate,attack_rate_patient,attack_rate_nurse
0.0,0.0,10000.0,15.2528,4.315,10.9378
0.5,0.0,10000.0,19.8182,6.447,13.3712
1.0,0.0,10000.0,25.1246,8.9676,16.157
